user_id,join_date,plan_type,subscription_status,cancel_date,last_login_date
U00226,2024-12-29,Premimum,Active,---,2025-04-20
U00227,2022-03-20,Mobile,Cancelled,2022-05-25,2022-05-04
U00228,2024-06-25,Standard,Active,---,2025-01-14
U00229,2025-08-03,Premium,Cancelled,2025-12-12,2025-06-03
U00230,2025-02-27,Basic,Active,---,2025-04-24
U00231,2023-07-21,Mobile,Active,---,2024-05-20
U00232,2023-06-04,Premimum,Cancelled,2024-05-02,2023-12-31
U00233,2023-01-26,Mobile,Active,---,2023-11-07
U00234,2024-11-16,Standard,Cancelled,2025-06-22,2025-01-17
U00235,2025-02-19,Premium,Cancelled,2025-12-27,2025-11-17
U00236,2023-11-16,Mobile,Active,---,2024-04-18
U00237,2023-11-17,Premimum,Active,---,2023-11-29
U00238,2023-02-03,Standrd,Active,---,2024-02-06
U00239,2024-01-15,Basic,Active,---,2024-12-31
U00240,2024-02-01,Basic,Active,---,2024-07-11
U00241,2024-05-12,Basic,Active,---,2025-02-20
U00242,2024-05-29,Premium,Active,---,2024-12-17
U00243,2024-01-30,Mobile,Active,---,2024-03-12
U00244,2025-03-03,Premimum,Active,---,2025-06-27
U00245,2022-12-25,Basic,Active,---,2023-07-02
U00246,2024-12-30,Premium,Active,---,2025-04-20
U00247,2024-05-18,Mobile,Cancelled,2024-06-18,2024-06-02
U00248,2024-10-04,Mobile,Cancelled,2025-07-04,2025-03-11
U00249,2024-07-10,Standard,Cancelled,2025-02-25,2024-12-22
U00250,2025-02-21,Premimum,Cancelled,2025-08-15,2025-07-10
U00251,2024-07-18,Standrd,Active,---,2024-08-11
U00252,2023-03-04,Mobile,Active,---,2023-09-25
U00253,2023-10-24,Basic,Cancelled,2024-10-22,2024-01-15
U00254,2022-07-03,Premium,Cancelled,2022-08-04,2022-07-18
U00255,2024-04-09,Mobile,Cancelled,2025-02-13,2024-07-05
U00256,2025-04-15,Premium,Active,---,2025-11-16
U00257,2023-04-02,Standard,Active,---,2024-01-19
U00258,2023-08-13,Standrd,Active,---,2023-09-02
U00259,2022-04-17,Premimum,Cancelled,2023-02-11,2022-05-02
U00260,2024-08-05,Standard,Cancelled,2025-02-07,2024-05-18
U00261,2022-07-02,Basic,Active,---,2023-01-26
U00262,2023-07-11,Standard,Active,---,2023-11-28
U00263,2024-06-05,Standard,Cancelled,2025-02-19,2024-09-30
U00264,2022-10-18,Standard,Active,---,2023-09-25
U00265,2024-12-02,Standard,Cancelled,2025-02-08,2024-12-16
U00266,2024-05-21,Premimum,Active,---,2025-01-19
U00267,2022-03-25,Standard,Cancelled,2022-10-08,2022-06-20
U00268,2025-02-15,Premium,Active,---,2025-05-28
U00269,2023-06-09,Mobile,Active,---,2024-01-09
U00270,2023-01-29,Premium,Active,---,2023-08-18
U00271,2022-09-09,Premium,Active,---,2023-02-21
U00272,2024-08-21,Basic,Cancelled,2025-05-27,2025-04-30
U00273,2024-07-14,Basic,Cancelled,2025-07-07,2024-09-24
U00274,2025-04-15,Premimum,Active,---,2026-04-05
U00275,2023-08-12,Premium,Cancelled,2024-03-01,2024-02-08
U00276,2024-11-10,Basic,Active,---,2024-11-27
U00277,2024-04-22,Mobile,Cancelled,2024-06-11,2024-05-15
U00278,2024-09-21,Premimum,Active,---,2024-12-30
U00279,2022-03-27,Premium,Cancelled,2022-06-03,2022-03-27
U00280,2023-08-27,Premium,Cancelled,2024-06-13,2024-04-01
U00281,2024-06-03,Mobile,Cancelled,2025-05-02,2025-01-06
U00282,2022-12-23,Premimum,Active,---,2023-12-02
U00283,2022-04-26,Premium,Active,---,2022-09-08
U00284,2024-02-27,Basic,Active,---,2025-01-14
U00285,2022-03-26,Standrd,Active,---,2023-02-05
U00286,2023-11-14,Standard,Active,---,2024-10-16
U00287,2022-03-01,Premium,Active,---,2022-02-23
U00288,2023-04-09,Standrd,Cancelled,2024-06-17,2024-02-17
U00289,2022-06-04,Standrd,Cancelled,2022-05-19,2022-04-25
U00290,2024-12-02,Basic,Cancelled,2024-05-31,2024-05-04
U00291,2023-11-15,Standrd,Active,---,2024-08-24
U00292,2023-05-06,Basic,Cancelled,2024-01-11,2023-08-23
U00293,2025-02-24,Basic,Active,---,2025-05-21
U00294,2024-01-20,Standrd,Active,---,2024-05-12
U00295,2024-04-25,Standrd,Active,---,2024-11-09
U00296,2024-03-23,Mobile,Cancelled,2024-10-22,2024-08-10
U00297,2024-11-24,Mobile,Active,---,2025-10-25
U00298,2023-07-21,Premimum,Active,---,2024-02-27
U00299,2023-08-07,Premimum,Active,---,2024-06-06
U00300,2023-10-02,Standrd,Active,---,2023-02-13
U00301,2022-03-30,Standrd,Active,---,2022-12-27
U00302,2024-01-05,Premium,Active,---,2024-08-31
U00303,2023-05-25,Standard,Active,---,2023-11-01
U00304,2022-12-31,Basic,Active,---,2023-05-10
U00305,2024-11-15,Premimum,Active,---,2025-01-15
U00306,2023-10-03,Basic,Active,---,2024-01-26
U00307,2024-12-14,Premium,Cancelled,2025-10-04,2025-06-24
U00308,2023-10-01,Premimum,Cancelled,2024-05-02,2023-11-14
U00309,2025-01-19,Premium,Cancelled,2025-06-12,2025-04-26
U00310,2022-01-10,Standard,Cancelled,2022-12-30,2022-10-13
U00311,2022-01-14,Basic,Active,---,2022-06-28
U00312,2024-04-23,Mobile,Active,---,2024-05-31
U00313,2024-02-28,Mobile,Active,---,2025-01-01
U00314,2022-06-25,Standard,Active,---,2023-04-30
U00315,2025-04-13,Mobile,Active,---,2025-10-29
U00316,2022-10-22,Standrd,Cancelled,2023-09-28,2023-03-31
U00317,2022-12-23,Basic,Active,---,2023-12-01
U00318,2024-09-13,Basic,Cancelled,2024-11-23,2024-10-31
U00319,2022-10-12,Standrd,Active,---,2023-02-17
U00320,2025-03-17,Mobile,Active,---,2025-05-14
U00321,2024-03-03,Basic,Active,---,2024-12-12
U00322,2025-03-25,Premimum,Active,---,2025-05-09
U00323,2022-05-24,Premimum,Active,---,2022-08-30
U00324,2024-11-04,Basic,Active,---,2024-10-12
U00325,2024-04-12,Standrd,Cancelled,2024-05-13,2024-05-04
U00326,2024-06-21,Mobile,Active,---,2024-09-10
U00327,2022-05-27,Premimum,Cancelled,2022-09-02,2022-06-06
U00328,2022-10-30,Standrd,Active,---,2023-08-21
U00329,2023-03-09,Standrd,Active,---,2023-11-01
U00330,2022-07-14,Basic,Active,---,2023-06-10
U00331,2022-04-17,Premium,Active,---,2023-01-22
U00332,2024-09-21,Standard,Cancelled,2025-05-21,2024-09-26
U00333,2022-03-28,Standard,Active,---,2022-10-08
U00334,2024-05-02,Standrd,Active,---,2025-01-11
U00335,2023-03-29,Standrd,Active,---,2024-01-05
U00336,2024-09-01,Premium,Active,---,2024-12-18
U00337,2023-01-14,Mobile,Active,---,2023-05-07
U00338,2023-10-06,Premimum,Cancelled,2024-08-12,2023-12-17
U00339,2023-10-23,Standrd,Active,---,2024-03-20
U00340,2022-10-19,Premium,Cancelled,2023-06-27,2023-06-01
U00341,2022-06-21,Premimum,Cancelled,2022-08-09,2022-08-01
U00342,2023-08-17,Basic,Cancelled,2024-07-04,2024-03-01
U00343,2024-12-15,Standrd,Active,---,2025-10-16
U00344,2023-03-12,Premimum,Active,---,2024-01-10
U00345,2022-06-10,Standrd,Active,---,2023-02-09
U00346,2022-06-16,Premimum,Active,---,2023-03-08
U00347,2023-03-22,Basic,Active,---,2023-05-21
U00348,2023-08-12,Premium,Active,---,2024-01-16
U00349,2024-10-10,Standard,Cancelled,2025-09-11,2025-03-24
U00350,2022-06-30,Premimum,Cancelled,2023-05-31,2022-12-14
U00351,2022-01-11,Basic,Active,---,2022-05-12
U00352,2024-05-11,Standrd,Cancelled,2025-11-05,2025-10-06
U00353,2025-01-29,Basic,Cancelled,2025-06-19,2025-04-28
U00354,2022-11-06,Premimum,Cancelled,2023-05-15,2023-03-06
U00355,2023-09-12,Standrd,Active,---,2024-11-26
U00356,2022-07-23,Premimum,Active,---,2023-03-27
U00357,2024-03-31,Basic,Active,---,2025-01-16
U00358,2023-11-19,Premimum,Active,---,2024-07-12
U00359,2022-01-15,Premium,Active,---,2022-02-19
U00360,2024-06-26,Standard,Cancelled,2024-10-17,2024-08-11
U00361,2023-03-14,Mobile,Active,---,2023-12-11
U00362,2022-01-22,Standard,Cancelled,2022-04-03,2022-03-30
U00363,2024-09-06,Standrd,Active,---,2025-04-17
U00364,2024-10-11,Basic,Active,---,2025-01-03
U00365,2022-01-11,Standard,Active,---,2022-05-31
U00366,2024-05-28,Premium,Active,---,2024-11-18
U00367,2022-02-02,Premimum,Cancelled,2022-05-21,2022-04-18
U00368,2024-03-06,Mobile,Active,---,2025-03-20
U00369,2022-12-29,Basic,Active,---,2023-02-01
U00370,2022-06-12,Standard,Active,---,2023-02-19
U00371,2023-04-24,Standrd,Cancelled,2024-03-10,2023-09-13
U00372,2022-07-28,Basic,Active,---,2023-02-25
U00373,2022-09-07,Standrd,Active,---,2023-01-12
U00374,2024-08-01,Standard,Active,---,2024-10-30
U00375,2025-04-04,Standard,Active,---,2025-11-28
U00376,2022-05-15,Premium,Active,---,2023-02-15
U00377,2024-02-22,Premimum,Active,---,2024-04-06
U00378,2022-01-13,Standard,Active,---,2022-07-25
U00379,2023-09-29,Standard,Active,---,2024-08-01
U00380,2022-01-25,Premium,Cancelled,2022-08-07,2022-08-07
U00381,2023-06-20,Standrd,Active,---,2024-02-27
U00382,2023-08-03,Basic,Active,---,2024-05-26
U00383,2025-06-02,Mobile,Cancelled,2025-05-17,2025-05-07
U00384,2022-12-27,Standard,Active,---,2023-10-10
U00385,2024-02-12,Standard,Active,---,2025-04-26
U00386,2022-02-18,Premimum,Cancelled,2022-05-26,2022-05-11
U00387,2023-12-01,Standard,Active,---,2024-07-16
U00388,2022-01-29,Standard,Active,---,2022-06-26
U00389,2023-01-07,Premimum,Active,---,2023-12-22
U00390,2024-06-16,Basic,Active,---,2025-05-08
U00391,2023-02-16,Standard,Active,---,2023-05-13
U00392,2022-01-06,Mobile,Cancelled,2022-06-14,2022-03-26
U00393,2023-10-23,Basic,Cancelled,2024-06-27,2024-04-08
U00394,2023-05-19,Premimum,Active,---,2023-12-29
U00395,2024-09-20,Basic,Active,---,2025-02-24
U00396,2022-11-22,Basic,Cancelled,2023-01-20,2022-12-27
U00397,2023-05-13,Basic,Active,---,2024-03-18
U00398,2023-03-12,Standard,Cancelled,2023-10-04,2023-08-22
U00399,2022-09-13,Premium,Cancelled,2023-08-14,2022-11-29
U00400,2023-10-21,Standard,Active,---,2024-04-29
U00401,2023-11-27,Premium,Active,---,2024-09-04
U00402,2023-05-27,Mobile,Cancelled,2024-01-04,2023-10-19
U00403,2023-02-01,Standard,Cancelled,2023-12-20,2023-03-01
U00404,2023-12-20,Premium,Active,---,2024-07-10
U00405,2023-01-03,Premium,Active,---,2023-08-06
U00406,2023-01-17,Standrd,Active,---,2023-08-26
U00407,2024-06-19,Premium,Active,---,2024-09-19
U00408,2024-05-20,Standard,Active,---,2024-09-07
U00409,2024-04-30,Premimum,Active,---,2024-07-26
U00410,2025-12-02,Mobile,Cancelled,2025-07-28,2025-05-15
U00411,2023-06-05,Basic,Active,---,2023-09-09
U00412,2022-05-20,Mobile,Cancelled,2023-04-16,2023-02-05
U00413,2023-01-16,Standard,Cancelled,2023-10-21,2023-03-24
U00414,2022-05-18,Standard,Active,---,2022-07-14
U00415,2023-02-08,Premium,Active,---,2023-09-28
U00416,2024-01-15,Standrd,Active,---,2024-05-01
U00417,2023-02-27,Standrd,Cancelled,2023-06-27,2023-04-02
U00418,2023-04-23,Premimum,Active,---,2024-04-17
U00419,2023-04-03,Premium,Cancelled,2024-01-12,2023-04-11
U00420,2024-04-18,Standrd,Cancelled,2024-10-24,2024-06-29
U00421,2023-03-01,Standrd,Active,---,2023-07-18
U00422,2023-10-31,Premimum,Cancelled,2024-01-28,2023-12-03
U00423,2023-05-07,Premium,Active,---,2023-09-25
U00424,2022-08-16,Basic,Active,---,2023-02-17
U00425,2022-03-06,Premium,Active,---,2023-05-04
U00426,2022-01-06,Premimum,Cancelled,2022-12-15,2022-12-14
U00427,2022-10-02,Mobile,Active,---,2023-02-11
U00428,2025-01-17,Standard,Active,---,2025-07-08
U00429,2024-11-28,Premimum,Active,---,2025-08-25
U00430,2024-02-25,Standard,Cancelled,2024-11-22,2024-11-05
U00431,2022-06-12,Standrd,Active,---,2023-01-01
U00432,2023-01-29,Premium,Active,---,2023-12-17
U00433,2022-04-01,Premium,Cancelled,2022-08-10,2022-01-13
U00434,2022-08-03,Premium,Cancelled,2022-04-13,2022-04-12
U00435,2022-02-03,Standrd,Active,---,2022-10-15
U00436,2022-02-23,Standard,Active,---,2022-08-05
U00437,2024-10-20,Premium,Active,---,2025-01-01
U00438,2022-07-13,Standard,Cancelled,2023-01-06,2022-07-28
U00439,2024-02-28,Standard,Cancelled,2024-07-08,2024-03-05
U00440,2024-06-26,Standard,Active,---,2025-05-23
U00441,2022-08-29,Standard,Active,---,2022-09-02
U00442,2022-11-09,Basic,Active,---,2023-01-22
U00443,2024-06-19,Standrd,Active,---,2025-05-13
U00444,2022-03-12,Basic,Cancelled,2023-11-09,2023-09-10
U00445,2022-05-20,Standard,Active,---,2022-10-26
U00446,2022-12-20,Premium,Cancelled,2023-10-11,2023-09-08
U00447,2023-06-13,Standard,Active,---,2023-07-11
U00448,2025-03-01,Premium,Cancelled,2025-02-24,2025-01-05
U00449,2022-09-07,Standrd,Active,---,2023-03-24
U00450,2022-11-25,Basic,Cancelled,2023-03-17,2023-03-16
U00451,2024-11-24,Premimum,Active,---,2025-11-14
U00452,2024-10-04,Standard,Active,---,2024-10-17
U00453,2025-09-03,Premimum,Cancelled,2025-04-16,2025-03-16
U00454,2024-05-06,Mobile,Cancelled,2025-04-22,2025-04-09
U00455,2022-04-17,Standrd,Active,---,2022-07-21
U00456,2024-10-30,Premimum,Cancelled,2025-04-21,2024-11-23
U00457,2022-02-20,Standard,Active,---,2022-04-07
U00458,2022-10-02,Standard,Cancelled,2023-03-25,2022-11-28
U00459,2023-12-05,Premium,Cancelled,2024-05-09,2023-09-22
U00460,2022-01-29,Premium,Active,---,2022-06-05
U00461,2024-08-17,Basic,Cancelled,2025-08-06,2025-07-14
U00462,2023-07-11,Standrd,Cancelled,2024-02-03,2023-12-28
U00463,2022-02-06,Standard,Cancelled,2022-08-23,2022-05-21
