show_id,title,genre,language,release_year,content_type,season,episode
S0051,Hi Nanna,Action,Tamil,2020,Series,2,3
S0052,Suzhal,Drama,Telugu,2021,Movie,1,1
S0053,RRR,Drama,Tamil,2019,Movie,1,1
S0054,Vikram,Action,Tamil,2025,Movie,1,1
S0055,Master,Action,Telugu,2023,Movie,1,1
S0056,Good Night,Comedy,Tamil,2023,Series,1,7
S0057,RRR,Action,Tamil,2018,Movie,1,1
S0058,Master,Action,Tamil,2024,Movie,1,1
S0059,Save the Tigers,Action,Telugu,2023,Movie,1,1
S0060,Suzhal,Romance,Telugu,2018,Movie,1,1
S0061,Leo,Action,Telugu,2024,Series,1,1
S0062,Good Night,Drama,Tamil,2018,Movie,1,1
S0063,Save the Tigers,Drama,Tamil,2023,Movie,1,1
S0064,Jailer,Thriller,Tamil,2018,Movie,1,1
S0065,RRR,Comedy,Tamil,2020,Movie,1,1
S0066,Leo ,Action,Tamil,2020,Series,1,7
S0067,Hi Nanna,Action,Telugu,2023,Movie,1,1
S0068,Master ,Comedy,Telugu,2018,Movie,1,1
S0069,Jailer,Action,Tamil,2021,Movie,1,1
S0070,Suzhal,Action,Telugu,2019,Movie,1,1
S0071,Suzhal,Action,Telugu,2025,Series,1,8
S0072,Save the Tigers,Action,Telugu,2020,Movie,1,1
S0073,Suzhal,Drama,Telugu,2020,Movie,1,1
S0074,Good Night ,Thriller,Telugu,2023,Movie,1,1
S0075,Pushpa,Comedy,Tamil,2018,Movie,1,1
S0076,Leo,Comedy,Telugu,2022,Series,1,3
S0077,RRR,Comedy,Tamil,2024,Movie,1,1
S0078,Suzhal,Action,Tamil,2019,Movie,1,1
S0079,RRR ,Action,Tamil,2025,Movie,1,1
S0080,Leo,Thriller,Tamil,2024,Movie,1,1
S0081,Good Night,Action,Telugu,2019,Series,1,8
S0082,Hi Nanna,Thriller,Telugu,2023,Movie,1,1
S0083,RRR,Thriller,Telugu,2025,Movie,1,1
S0084,RRR,Action,Telugu,2025,Movie,1,1
S0085,Master,Action,Tamil,2021,Movie,1,1
S0086,Save the Tigers,Action,Tamil,2022,Series,1,2
S0087,RRR,Drama,Tamil,2019,Movie,1,1
S0088,RRR,Action,Telugu,2025,Movie,1,1
S0089,RRR,Action,Tamil,2022,Movie,1,1
S0090,Suzhal,Drama,Telugu,2021,Movie,1,1
S0091,Save the Tigers,Romance,Tamil,2022,Series,2,6
S0092,Hi Nanna,Romance,Tamil,2019,Movie,1,1
S0093,Master,Action,Telugu,2019,Movie,1,1
S0094,Save the Tigers,Action,Telugu,2018,Movie,1,1
S0095,Jailer,Thriller,Telugu,2020,Movie,1,1
S0096,Leo,Action,Telugu,2020,Series,2,2
S0097,Suzhal,Action,Telugu,2025,Movie,1,1
S0098,RRR,Thriller,Tamil,2019,Movie,1,1
S0099,Leo,Comedy,Telugu,2021,Movie,1,1
S0100,Hi Nanna,Thriller,Telugu,2019,Movie,1,1
S0101,Pushpa,Thriller,Tamil,2025,Series,2,6
S0102,Good Night,Action,Tamil,2023,Movie,1,1
S0103,Good Night,Thriller,Telugu,2020,Movie,1,1
S0104,Save the Tigers,Romance,Telugu,2022,Movie,1,1
S0105,Suzhal,Romance,Tamil,2022,Movie,1,1
S0106,Jailer,Romance,Tamil,2020,Series,2,4
S0107,Suzhal,Action,Tamil,2022,Movie,1,1
S0108,Good Night,Romance,Telugu,2019,Movie,1,1
S0109,Leo,Action,Tamil,2024,Movie,1,1
S0110,Pushpa,Action,Telugu,2024,Movie,1,1
S0111,Vikram,Action,Tamil,2018,Series,1,1
S0112,Pushpa,Comedy,Tamil,2022,Movie,1,1
S0113,Suzhal,Romance,Tamil,2025,Movie,1,1
S0114,Good Night,Romance,Telugu,2019,Movie,1,1
S0115,Jailer,Action,Telugu,2023,Movie,1,1
S0116,Master,Action,Telugu,2023,Series,1,3
S0117,Pushpa,Action,Tamil,2022,Movie,1,1
S0118,Vikram ,Action,Tamil,2025,Movie,1,1
S0119,Jailer ,Action,Telugu,2020,Movie,1,1
S0120,RRR,Comedy,Tamil,2021,Movie,1,1
S0121,RRR,Action,Tamil,2023,Series,2,5
S0122,Jailer,Action,Telugu,2024,Movie,1,1
S0123,Vikram,Action,Tamil,2025,Movie,1,1
S0124,Suzhal,Action,Tamil,2023,Movie,1,1
S0125,Pushpa,Action,Tamil,2025,Movie,1,1
S0126,Good Night,Drama,Tamil,2025,Series,2,5
S0127,Master ,Comedy,Tamil,2021,Movie,1,1
S0128,Jailer,Drama,Telugu,2018,Movie,1,1
S0129,Leo,Drama,Tamil,2023,Movie,1,1
S0130,Jailer,Romance,Telugu,2020,Movie,1,1
S0131,Leo,Drama,Telugu,2022,Series,1,5
S0132,Master,Action,Tamil,2018,Movie,1,1
S0133,Hi Nanna,Action,Telugu,2025,Movie,1,1
S0134,Jailer,Romance,Telugu,2022,Movie,1,1
S0135,Master,Comedy,Telugu,2025,Movie,1,1
S0136,Suzhal,Comedy,Tamil,2022,Series,1,4
S0137,Jailer,Action,Telugu,2018,Movie,1,1
S0138,Leo,Action,Tamil,2020,Movie,1,1
S0139,Suzhal,Action,Telugu,2018,Movie,1,1
S0140,Jailer,Action,Tamil,2020,Movie,1,1
S0141,Vikram,Action,Tamil,2022,Series,2,6
S0142,RRR,Drama,Telugu,2022,Movie,1,1
S0143,Good Night,Action,Tamil,2023,Movie,1,1
S0144,Suzhal,Action,Tamil,2025,Movie,1,1
S0145,Leo,Action,Telugu,2019,Movie,1,1
S0146,Pushpa,Action,Telugu,2025,Series,1,6
S0147,Jailer,Thriller,Tamil,2020,Movie,1,1
S0148,Suzhal,Comedy,Tamil,2022,Movie,1,1
S0149,Good Night,Action,Telugu,2020,Movie,1,1
S0150,Vikram,Action,Telugu,2018,Movie,1,1
S0151,Hi Nanna,Action,Telugu,2024,Series,1,1
S0152,Good Night,Romance,Tamil,2022,Movie,1,1
S0153,Hi Nanna,Action,Telugu,2022,Movie,1,1
S0154,Leo,Action,Tamil,2022,Movie,1,1
S0155,Save the Tigers,Action,Telugu,2025,Movie,1,1
S0156,Vikram,Romance,Tamil,2019,Series,1,5
S0157,Save the Tigers,Action,Tamil,2023,Movie,1,1
S0158,Jailer,Action,Telugu,2020,Movie,1,1
S0159,Pushpa,Romance,Tamil,2023,Movie,1,1
S0160,RRR,Action,Telugu,2020,Movie,1,1
S0161,Jailer,Action,Tamil,2021,Series,1,7
S0162,Jailer,Action,Tamil,2024,Movie,1,1
S0163,RRR,Thriller,Tamil,2022,Movie,1,1
S0164,Vikram,Action,Tamil,2020,Movie,1,1
S0165,RRR,Thriller,Telugu,2019,Movie,1,1
S0166,Good Night,Action,Tamil,2022,Series,1,8
S0167,Save the Tigers,Drama,Tamil,2021,Movie,1,1
S0168,Master,Action,Telugu,2022,Movie,1,1
S0169,Master,Action,Telugu,2025,Movie,1,1
S0170,Leo,Action,Telugu,2021,Movie,1,1
S0171,Vikram,Comedy,Tamil,2019,Series,1,5
S0172,Jailer,Action,Tamil,2019,Movie,1,1
S0173,Save the Tigers,Action,Tamil,2020,Movie,1,1
S0174,Vikram,Drama,Tamil,2022,Movie,1,1
S0175,Suzhal ,Comedy,Telugu,2025,Movie,1,1
S0176,Save the Tigers,Drama,Telugu,2019,Series,1,7
S0177,Jailer,Action,Telugu,2023,Movie,1,1
S0178,Pushpa ,Comedy,Telugu,2025,Movie,1,1
S0179,Suzhal,Drama,Telugu,2024,Movie,1,1
S0180,Master,Action,Telugu,2024,Movie,1,1
S0181,Save the Tigers,Action,Telugu,2018,Series,2,5
S0182,Jailer,Romance,Tamil,2019,Movie,1,1
S0183,Vikram,Action,Tamil,2021,Movie,1,1
S0184,Vikram,Romance,Tamil,2022,Movie,1,1
S0185,Vikram,Thriller,Telugu,2021,Movie,1,1
S0186,Master,Action,Tamil,2025,Series,2,7
S0187,Vikram,Romance,Tamil,2022,Movie,1,1
S0188,Good Night,Action,Telugu,2023,Movie,1,1
S0189,Master,Action,Telugu,2025,Movie,1,1
S0190,RRR,Comedy,Telugu,2025,Movie,1,1
S0191,Suzhal,Action,Telugu,2024,Series,1,2
S0192,Save the Tigers,Action,Telugu,2023,Movie,1,1
S0193,Jailer,Action,Tamil,2018,Movie,1,1
S0194,Vikram,Action,Telugu,2024,Movie,1,1
S0195,Hi Nanna,Drama,Tamil,2022,Movie,1,1
S0196,Leo,Thriller,Telugu,2021,Series,2,1
S0197,Vikram,Thriller,Tamil,2019,Movie,1,1
S0198,Jailer,Drama,Tamil,2020,Movie,1,1
S0199,Pushpa,Action,Tamil,2022,Movie,1,1
S0200,Pushpa,Romance,Tamil,2023,Movie,1,1
S0201,Save the Tigers,Action,Tamil,2025,Series,1,2
S0202,Vikram,Action,Telugu,2022,Movie,1,1
S0203,Pushpa,Action,Tamil,2022,Movie,1,1
S0204,Vikram,Romance,Tamil,2020,Movie,1,1
S0205,Hi Nanna,Drama,Tamil,2021,Movie,1,1
S0206,Good Night,Comedy,Telugu,2024,Series,2,2
S0207,Leo,Romance,Tamil,2024,Movie,1,1
S0208,Good Night ,Thriller,Tamil,2024,Movie,1,1
S0209,Suzhal,Thriller,Telugu,2020,Movie,1,1
S0210,Good Night,Action,Tamil,2018,Movie,1,1
S0211,Master ,Action,Tamil,2025,Series,1,5
S0212,Pushpa,Romance,Tamil,2025,Movie,1,1
S0213,Vikram ,Action,Telugu,2020,Movie,1,1
S0214,Pushpa,Romance,Telugu,2022,Movie,1,1
S0215,Suzhal,Action,Tamil,2020,Movie,1,1
S0216,Good Night,Action,Telugu,2025,Series,1,3
S0217,Save the Tigers,Thriller,Telugu,2019,Movie,1,1
S0218,Save the Tigers,Thriller,Tamil,2025,Movie,1,1
S0219,Save the Tigers,Action,Telugu,2025,Movie,1,1
S0220,Jailer,Action,Tamil,2018,Movie,1,1
S0221,Save the Tigers,Action,Telugu,2023,Series,2,4
S0222,RRR,Action,Tamil,2025,Movie,1,1
S0223,Hi Nanna,Thriller,Telugu,2024,Movie,1,1
S0224,Save the Tigers,Drama,Telugu,2018,Movie,1,1
S0225,Vikram,Thriller,Telugu,2020,Movie,1,1
S0226,Leo,Thriller,Tamil,2021,Series,1,2
S0227,Good Night,Action,Telugu,2019,Movie,1,1
S0228,RRR ,Drama,Telugu,2024,Movie,1,1
S0229,Vikram ,Thriller,Telugu,2023,Movie,1,1
S0230,Jailer,Romance,Tamil,2020,Movie,1,1
S0231,Jailer,Action,Telugu,2022,Series,2,7
S0232,Save the Tigers,Comedy,Tamil,2020,Movie,1,1
S0233,Hi Nanna,Drama,Telugu,2018,Movie,1,1
S0234,Save the Tigers,Drama,Telugu,2025,Movie,1,1
S0235,Vikram,Action,Tamil,2021,Movie,1,1
S0236,Hi Nanna,Romance,Telugu,2021,Series,2,4
S0237,Leo,Comedy,Tamil,2020,Movie,1,1
S0238,RRR,Romance,Tamil,2018,Movie,1,1
S0239,Vikram,Drama,Telugu,2022,Movie,1,1
S0240,Leo,Comedy,Tamil,2022,Movie,1,1
S0241,Hi Nanna,Action,Tamil,2021,Series,2,2
S0242,Suzhal,Drama,Tamil,2026,Movie,1,1
S0243,Good Night,Action,Tamil,2019,Movie,1,1
S0244,Hi Nanna,Action,Telugu,2018,Movie,1,1
S0245,Suzhal,Action,Tamil,2020,Movie,1,1
S0246,Leo,Action,Telugu,2022,Series,2,2
S0247,Master,Action,Tamil,2025,Movie,1,1
S0248,Save the Tigers,Drama,Tamil,2020,Movie,1,1
S0249,RRR,Action,Telugu,2024,Movie,1,1
S0250,RRR,Action,Telugu,2022,Movie,1,1
S0251,Suzhal,Comedy,Tamil,2022,Series,2,7
S0252,Master,Drama,Telugu,2023,Movie,1,1
S0253,Suzhal,Action,Telugu,2019,Movie,1,1
S0254,Jailer,Action,Telugu,2023,Movie,1,1
S0255,Master,Action,Telugu,2024,Movie,1,1
S0256,RRR,Drama,Tamil,2019,Series,2,3
S0257,Vikram,Action,Telugu,2020,Movie,1,1
S0258,Hi Nanna,Action,Telugu,2021,Movie,1,1
S0259,RRR,Romance,Telugu,2022,Movie,1,1
S0260,RRR,Comedy,Tamil,2019,Movie,1,1
S0261,Suzhal,Comedy,Tamil,2025,Series,1,7
S0262,Jailer ,Action,Tamil,2025,Movie,1,1
S0263,Suzhal,Action,Telugu,2018,Movie,1,1
S0264,Pushpa,Comedy,Telugu,2026,Movie,1,1
S0265,Jailer,Action,Tamil,2023,Movie,1,1
S0266,Master,Action,Telugu,2025,Series,1,8
S0267,Good Night,Drama,Telugu,2024,Movie,1,1
S0268,Jailer,Drama,Telugu,2024,Movie,1,1
S0269,Vikram,Comedy,Tamil,2021,Movie,1,1
S0270,Hi Nanna ,Comedy,Telugu,2019,Movie,1,1
S0271,Leo,Comedy,Telugu,2025,Series,2,2
S0272,Leo,Romance,Telugu,2025,Movie,1,1
S0273,Leo,Drama,Telugu,2021,Movie,1,1
S0274,Leo,Action,Tamil,2019,Movie,1,1
S0275,Good Night,Action,Tamil,2024,Movie,1,1
S0276,Save the Tigers,Action,Telugu,2021,Series,1,5
S0277,Save the Tigers,Comedy,Telugu,2019,Movie,1,1
S0278,Master,Action,Telugu,2024,Movie,1,1
S0279,Leo,Drama,Telugu,2018,Movie,1,1
S0280,Master,Action,Tamil,2023,Movie,1,1
S0281,Vikram,Action,Telugu,2018,Series,1,7
S0282,Vikram,Comedy,Tamil,2022,Movie,1,1
S0283,Hi Nanna,Drama,Telugu,2020,Movie,1,1
S0284,Jailer,Action,Tamil,2024,Movie,1,1
S0285,Leo,Thriller,Tamil,2025,Movie,1,1
S0286,Hi Nanna,Romance,Telugu,2018,Series,2,5
S0287,Master,Action,Telugu,2022,Movie,1,1
S0288,Leo,Action,Telugu,2023,Movie,1,1
S0289,Leo,Action,Tamil,2018,Movie,1,1
S0290,Save the Tigers,Thriller,Tamil,2025,Movie,1,1
S0291,Leo,Drama,Telugu,2019,Series,2,7
S0292,Jailer,Action,Tamil,2023,Movie,1,1
S0293,Hi Nanna,Thriller,Tamil,2023,Movie,1,1
S0294,Hi Nanna,Drama,Tamil,2021,Movie,1,1
S0295,Vikram,Action,Tamil,2021,Movie,1,1
S0296,Vikram,Thriller,Tamil,2018,Series,1,8
S0297,Leo,Action,Telugu,2021,Movie,1,1
S0298,Hi Nanna,Thriller,Tamil,2023,Movie,1,1
S0299,Vikram,Action,Telugu,2025,Movie,1,1
S0300,Vikram,Romance,Telugu,2024,Movie,1,1
S0301,Master,Comedy,Tamil,2019,Series,1,3
S0302,Suzhal,Action,Telugu,2024,Movie,1,1
S0303,Leo,Action,Tamil,2020,Movie,1,1
S0304,Save the Tigers,Romance,Tamil,2019,Movie,1,1
S0305,Pushpa,Romance,Tamil,2024,Movie,1,1
S0306,Leo,Action,Tamil,2023,Series,1,4
S0307,Pushpa,Comedy,Tamil,2021,Movie,1,1
S0308,Good Night,Action,Tamil,2020,Movie,1,1
S0309,Leo,Comedy,Telugu,2019,Movie,1,1
S0310,Save the Tigers,Action,Tamil,2019,Movie,1,1
S0311,Suzhal,Comedy,Tamil,2021,Series,1,6
S0312,Vikram,Comedy,Telugu,2022,Movie,1,1
S0313,Suzhal,Action,Tamil,2025,Movie,1,1
S0314,Hi Nanna,Thriller,Telugu,2022,Movie,1,1
S0315,Master,Action,Tamil,2022,Movie,1,1
S0316,Good Night,Action,Tamil,2020,Series,2,5
S0317,Master ,Action,Tamil,2021,Movie,1,1
S0318,Master,Action,Telugu,2025,Movie,1,1
S0319,Save the Tigers,Comedy,Telugu,2022,Movie,1,1
S0320,Hi Nanna,Drama,Telugu,2022,Movie,1,1
S0321,Hi Nanna,Action,Telugu,2023,Series,2,7
S0322,Vikram,Action,Tamil,2025,Movie,1,1
S0323,Vikram,Action,Telugu,2025,Movie,1,1
S0324,Save the Tigers,Action,Tamil,2023,Movie,1,1
S0325,Vikram,Action,Telugu,2018,Movie,1,1
S0326,Pushpa,Drama,Tamil,2024,Series,2,8
S0327,RRR,Thriller,Telugu,2022,Movie,1,1
S0328,Vikram,Drama,Tamil,2018,Movie,1,1
S0329,Leo,Thriller,Telugu,2023,Movie,1,1
S0330,Master,Thriller,Telugu,2022,Movie,1,1
S0331,Pushpa,Thriller,Tamil,2019,Series,2,8
S0332,Vikram,Drama,Tamil,2022,Movie,1,1
S0333,Vikram,Romance,Telugu,2024,Movie,1,1
S0334,Good Night,Action,Telugu,2023,Movie,1,1
S0335,Good Night,Action,Telugu,2025,Movie,1,1
S0336,Good Night,Thriller,Tamil,2022,Series,2,5
S0337,Save the Tigers,Action,Tamil,2021,Movie,1,1
S0338,Leo,Thriller,Telugu,2021,Movie,1,1
S0339,Save the Tigers,Thriller,Tamil,2019,Movie,1,1
S0340,Leo,Action,Telugu,2021,Movie,1,1
S0341,Save the Tigers,Action,Telugu,2025,Series,1,6
S0342,Hi Nanna,Action,Telugu,2024,Movie,1,1
S0343,Good Night,Action,Tamil,2021,Movie,1,1
S0344,Save the Tigers ,Drama,Tamil,2024,Movie,1,1
S0345,Suzhal,Thriller,Tamil,2024,Movie,1,1
S0346,Vikram,Romance,Telugu,2022,Series,2,8
S0347,Suzhal,Action,Telugu,2023,Movie,1,1
S0348,Vikram ,Action,Tamil,2018,Movie,1,1
S0349,Vikram,Action,Telugu,2019,Movie,1,1
S0350,Leo,Action,Telugu,2021,Movie,1,1
S0351,RRR,Action,Tamil,2018,Series,1,4
S0352,Pushpa,Action,Tamil,2025,Movie,1,1
S0353,Jailer,Comedy,Tamil,2023,Movie,1,1
S0354,Vikram,Thriller,Telugu,2023,Movie,1,1
S0355,Hi Nanna,Action,Tamil,2020,Movie,1,1
S0356,Pushpa,Thriller,Tamil,2024,Series,1,1
S0357,Leo,Thriller,Telugu,2023,Movie,1,1
S0358,Master,Drama,Tamil,2025,Movie,1,1
S0359,Save the Tigers,Romance,Telugu,2019,Movie,1,1
S0360,Hi Nanna,Action,Tamil,2021,Movie,1,1
S0361,RRR,Drama,Telugu,2020,Series,2,4
S0362,Pushpa,Action,Tamil,2021,Movie,1,1
S0363,Good Night,Action,Tamil,2018,Movie,1,1
S0364,Save the Tigers,Comedy,Tamil,2020,Movie,1,1
S0365,Save the Tigers,Drama,Tamil,2018,Movie,1,1
S0366,Master,Action,Tamil,2024,Series,1,2
S0367,Pushpa,Comedy,Tamil,2019,Movie,1,1
S0368,Jailer,Action,Tamil,2023,Movie,1,1
S0369,Vikram ,Thriller,Tamil,2022,Movie,1,1
S0370,RRR,Drama,Telugu,2025,Movie,1,1
S0371,Good Night,Action,Tamil,2021,Series,2,4
S0372,Save the Tigers ,Action,Telugu,2024,Movie,1,1
S0373,Suzhal,Action,Telugu,2024,Movie,1,1
S0374,Save the Tigers,Action,Tamil,2018,Movie,1,1
S0375,Master,Action,Telugu,2018,Movie,1,1
S0376,Hi Nanna,Action,Telugu,2023,Series,1,1
S0377,Save the Tigers,Action,Tamil,2020,Movie,1,1
S0378,RRR,Comedy,Telugu,2023,Movie,1,1
S0379,Save the Tigers,Comedy,Tamil,2019,Movie,1,1
S0380,Suzhal,Action,Telugu,2021,Movie,1,1
S0381,Good Night,Romance,Telugu,2021,Series,1,2
S0382,Hi Nanna,Thriller,Telugu,2018,Movie,1,1
S0383,Save the Tigers,Action,Tamil,2023,Movie,1,1
S0384,Master,Action,Tamil,2020,Movie,1,1
S0385,Pushpa,Action,Tamil,2024,Movie,1,1
S0386,Vikram,Action,Tamil,2023,Series,1,7
S0387,Hi Nanna,Action,Telugu,2019,Movie,1,1
S0388,Leo,Action,Telugu,2023,Movie,1,1
S0389,RRR,Thriller,Tamil,2023,Movie,1,1
S0390,Master,Romance,Telugu,2025,Movie,1,1
S0391,Pushpa,Drama,Telugu,2025,Series,1,4
S0392,RRR,Action,Tamil,2025,Movie,1,1
S0393,Vikram,Action,Telugu,2021,Movie,1,1
S0394,Master,Action,Tamil,2019,Movie,1,1
S0395,Pushpa,Action,Telugu,2018,Movie,1,1
S0396,Hi Nanna ,Action,Telugu,2018,Series,1,6
S0397,Vikram,Action,Tamil,2024,Movie,1,1
S0398,Leo,Action,Tamil,2019,Movie,1,1
S0399,Save the Tigers,Drama,Telugu,2024,Movie,1,1
S0400,Suzhal,Romance,Tamil,2020,Movie,1,1
S0401,RRR,Action,Telugu,2020,Series,1,6
S0402,Jailer,Romance,Tamil,2023,Movie,1,1
S0403,Good Night,Romance,Tamil,2022,Movie,1,1
S0404,Hi Nanna,Action,Tamil,2020,Movie,1,1
S0405,RRR,Thriller,Tamil,2025,Movie,1,1
S0406,Jailer,Action,Telugu,2018,Series,2,6
S0407,Jailer,Drama,Telugu,2018,Movie,1,1
S0408,Master,Action,Tamil,2021,Movie,1,1
S0409,Good Night ,Thriller,Tamil,2020,Movie,1,1
S0410,Suzhal,Comedy,Tamil,2021,Movie,1,1
S0411,Master,Action,Telugu,2020,Series,2,3
S0412,Master,Action,Tamil,2020,Movie,1,1
S0413,Leo ,Drama,Tamil,2024,Movie,1,1
S0414,Hi Nanna,Action,Telugu,2024,Movie,1,1
S0415,RRR,Action,Telugu,2024,Movie,1,1
S0416,Pushpa,Drama,Telugu,2018,Series,2,1
S0417,Hi Nanna,Thriller,Tamil,2023,Movie,1,1
S0418,Save the Tigers,Action,Tamil,2024,Movie,1,1
S0419,Jailer,Thriller,Tamil,2019,Movie,1,1
S0420,RRR,Action,Telugu,2021,Movie,1,1
S0421,Pushpa,Action,Tamil,2019,Series,2,3
S0422,Hi Nanna,Action,Tamil,2022,Movie,1,1
S0423,Hi Nanna ,Action,Telugu,2022,Movie,1,1
S0424,RRR,Action,Telugu,2025,Movie,1,1
S0425,Suzhal,Romance,Tamil,2025,Movie,1,1
S0426,Vikram,Thriller,Tamil,2024,Series,1,5
S0427,RRR,Romance,Tamil,2022,Movie,1,1
S0428,RRR,Comedy,Tamil,2019,Movie,1,1
S0429,Good Night,Action,Telugu,2025,Movie,1,1
S0430,Save the Tigers,Action,Telugu,2018,Movie,1,1
S0431,Suzhal,Action,Telugu,2021,Series,2,3
S0432,Pushpa,Action,Tamil,2018,Movie,1,1
S0433,Hi Nanna,Action,Tamil,2020,Movie,1,1
S0434,Jailer,Drama,Tamil,2024,Movie,1,1
S0435,Vikram,Action,Tamil,2020,Movie,1,1
S0436,Vikram,Action,Telugu,2018,Series,2,2
S0437,Good Night,Action,Telugu,2024,Movie,1,1
S0438,Vikram,Action,Telugu,2020,Movie,1,1
S0439,RRR,Action,Telugu,2020,Movie,1,1
S0440,RRR,Romance,Telugu,2023,Movie,1,1
S0441,Jailer,Romance,Tamil,2023,Series,1,7
S0442,RRR,Comedy,Telugu,2023,Movie,1,1
S0443,Master,Drama,Telugu,2024,Movie,1,1
S0444,RRR,Thriller,Tamil,2025,Movie,1,1
S0445,Hi Nanna,Drama,Telugu,2023,Movie,1,1
S0446,Vikram,Romance,Tamil,2025,Series,1,2
S0447,Hi Nanna,Action,Telugu,2023,Movie,1,1
S0448,RRR,Comedy,Telugu,2021,Movie,1,1
S0449,Master,Romance,Tamil,2023,Movie,1,1
S0450,Leo,Action,Telugu,2021,Movie,1,1
S0451,Save the Tigers,Action,Telugu,2018,Series,2,8
S0452,Hi Nanna,Action,Tamil,2023,Movie,1,1
S0453,Jailer,Romance,Telugu,2020,Movie,1,1
S0454,Save the Tigers,Comedy,Tamil,2020,Movie,1,1
S0455,Save the Tigers,Romance,Telugu,2024,Movie,1,1
S0456,Hi Nanna,Action,Tamil,2024,Series,2,4
S0457,Good Night,Action,Tamil,2020,Movie,1,1
S0458,Suzhal,Drama,Tamil,2025,Movie,1,1
S0459,Jailer,Drama,Telugu,2024,Movie,1,1
S0460,Suzhal,Action,Telugu,2021,Movie,1,1
S0461,Good Night,Romance,Telugu,2021,Series,1,5
S0462,Good Night,Drama,Tamil,2021,Movie,1,1
S0463,Good Night,Drama,Tamil,2023,Movie,1,1
S0464,RRR,Action,Tamil,2025,Movie,1,1
S0465,Jailer,Action,Telugu,2023,Movie,1,1
S0466,Pushpa,Comedy,Telugu,2022,Series,2,7
S0467,RRR,Romance,Tamil,2021,Movie,1,1
S0468,Master,Action,Tamil,2021,Movie,1,1
S0469,Hi Nanna,Action,Telugu,2018,Movie,1,1
S0470,Hi Nanna,Action,Tamil,2019,Movie,1,1
S0471,Master,Thriller,Tamil,2025,Series,1,7
S0472,Good Night,Action,Tamil,2020,Movie,1,1
S0473,Vikram,Action,Telugu,2021,Movie,1,1
S0474,Pushpa,Comedy,Tamil,2024,Movie,1,1
S0475,Save the Tigers ,Comedy,Tamil,2022,Movie,1,1
S0476,Pushpa,Action,Telugu,2019,Series,2,2
S0477,RRR,Action,Telugu,2024,Movie,1,1
S0478,Master,Comedy,Telugu,2019,Movie,1,1
S0479,Save the Tigers,Thriller,Tamil,2019,Movie,1,1
S0480,Good Night,Action,Tamil,2022,Movie,1,1
S0481,Suzhal,Action,Telugu,2023,Series,2,6
