view_id,user_id,show_id,duration_watched,watch_date,completion_percentage
V000041,U01622,S0010,40.0,2025-03-26,89.0
V000042,U00331,S0581,500.0,2024-05-01,93.0
V000043,U01853,S0983,124.0,2024-05-06,44.0
V000044,U01920,S0300,500.0,2025-04-14,55.0
V000045,U00840,S0667,500.0,2024-04-27,97.0
V000046,U00276,S0195,92.0,2024-12-05,12.0
V000047,U00711,S0329,81.0,2024-06-01,68.0
V000048,U00609,S0079,500.0,2024-03-31,28.0
V000049,U01103,S0281,155.0,2025-06-14,75.0
V000050,U00782,S0162,500.0,2025-07-04,97.0
V000051,U01838,S0991,12.0,2025-05-26,14.0
V000052,U01896,S0845,500.0,2025-07-03,82.0
V000053,U00775,S0842,15.0,2024-11-21,12.0
V000054,U01542,S0428,500.0,2024-07-31,30.0
V000055,U01748,S0199,500.0,2025-02-18,46.0
V000056,U00427,S0589,106.0,2024-06-10,74.0
V000057,U01463,S0735,500.0,2025-05-03,17.0
V000058,U01252,S0665,48.0,2024-02-24,73.0
V000059,U00019,S0597,181.0,2024-09-13,15.0
V000060,U01971,S0105,219.0,2024-04-30,82.0
V000061,U01519,S0170,210.0,2024-01-30,69.0
V000062,U00279,S0389,500.0,2025-05-01,15.0
V000063,U01270,S0537,500.0,2024-04-30,89.0
V000064,U01487,S0739,38.0,2025-04-13,90.0
V000065,U01633,S0672,68.0,2024-01-22,75.0
V000066,U01810,S0089,77.0,2024-09-14,97.0
V000067,U00662,S0851,500.0,2024-12-22,87.0
V000068,U00835,S0466,500.0,2024-02-16,56.0
V000069,U00061,S0089,120.0,2025-03-24,44.0
V000070,U01813,S0066,10.0,2025-05-03,50.0
V000071,U01663,S0263,104.0,2024-05-31,79.0
V000072,U00274,S0663,107.0,2025-04-29,17.0
V000073,U00958,S0063,96.0,2025-09-05,54.0
V000074,U01733,S0761,32.0,2024-03-14,70.0
V000075,U00533,S0967,500.0,2024-07-14,89.0
V000076,U01050,S0118,500.0,2024-11-25,96.0
V000077,U00730,S0381,65.0,2024-08-27,33.0
V000078,U01896,S0519,219.0,2024-11-01,70.0
V000079,U01222,S0092,85.0,2024-04-20,62.0
V000080,U01246,S0430,500.0,2024-06-07,66.0
V000081,U02000,S0626,56.0,2025-05-14,30.0
V000082,U01750,S0330,500.0,2024-06-23,10.0
V000083,U01482,S0334,71.0,2025-06-03,42.0
V000084,U00559,S0075,500.0,2024-12-18,93.0
V000085,U00087,S0172,500.0,2024-10-22,44.0
V000086,U01649,S0838,57.0,2024-07-30,69.0
V000087,U01648,S0007,500.0,2024-08-20,16.0
V000088,U01273,S0888,500.0,2025-05-13,20.0
V000089,U00051,S0242,500.0,2025-10-03,23.0
V000090,U01324,S0743,121.0,2024-10-10,89.0
V000091,U01781,S0737,219.0,2024-03-11,58.0
V000092,U01344,S0927,195.0,2024-05-18,98.0
V000093,U00374,S0454,500.0,2024-04-04,86.0
V000094,U00528,S0107,54.0,2024-11-05,62.0
V000095,U00610,S0809,219.0,2025-04-15,46.0
V000096,U00307,S0576,201.0,2024-11-10,27.0
V000097,U01495,S0027,500.0,2024-03-04,15.0
V000098,U00896,S0383,500.0,2024-02-02,49.0
V000099,U01151,S0979,500.0,2025-01-03,30.0
V000100,U00317,S0876,35.0,2025-03-14,20.0
V000101,U00416,S0981,500.0,2024-08-02,76.0
V000102,U00007,S0650,500.0,2024-11-06,90.0
V000103,U01683,S0433,500.0,2024-05-19,56.0
V000104,U01904,S0706,109.0,2024-09-27,85.0
V000105,U01459,S0357,500.0,2024-03-05,14.0
V000106,U00256,S0272,500.0,2024-04-14,15.0
V000107,U01558,S0261,146.0,2025-05-15,73.0
V000108,U01244,S0410,125.0,2024-09-04,85.0
V000109,U01751,S0633,22.0,2024-04-04,48.0
V000110,U00694,S0062,500.0,2025-02-04,26.0
V000111,U00886,S0141,500.0,2025-03-16,66.0
V000112,U00699,S0708,500.0,2025-03-28,90.0
V000113,U00724,S0236,500.0,2024-05-07,90.0
V000114,U01801,S0002,500.0,2025-01-02,36.0
V000115,U00998,S0968,219.0,2024-07-30,86.0
V000116,U01964,S0680,500.0,2024-10-27,58.0
V000117,U01255,S0039,47.0,2024-02-08,87.0
V000118,U00741,S0402,500.0,2025-04-18,53.0
V000119,U01721,S0298,213.0,2024-04-16,96.0
V000120,U01359,S0987,500.0,2024-02-04,75.0
V000121,U01495,S0466,500.0,2024-11-13,84.0
V000122,U01328,S0453,500.0,2025-03-27,56.0
V000123,U01921,S0427,500.0,2025-02-24,70.0
V000124,U00835,S0008,500.0,2024-09-24,91.0
V000125,U01842,S0885,111.0,2024-01-10,35.0
V000126,U01255,S0687,173.0,2024-03-17,59.0
V000127,U00120,S0922,153.0,2025-05-13,52.0
V000128,U01478,S0808,500.0,2024-03-08,88.0
V000129,U01466,S0446,51.0,2025-03-03,69.0
V000130,U01065,S0207,500.0,2024-12-08,86.0
V000131,U00469,S0885,500.0,2024-09-12,49.0
V000132,U00376,S0043,500.0,2025-03-24,39.0
V000133,U00722,S0110,65.0,2025-10-01,43.0
V000134,U01287,S0336,148.0,2025-04-21,19.0
V000135,U01504,S0259,500.0,2025-05-22,25.0
V000136,U00364,S0005,109.0,2024-03-13,50.0
V000137,U01007,S0647,500.0,2025-05-21,10.0
V000138,U00673,S0323,500.0,2024-01-08,27.0
V000139,U01991,S0088,129.0,2025-03-19,26.0
V000140,U00784,S0927,500.0,2025-02-23,46.0
V000141,U01477,S0030,500.0,2024-03-11,26.0
V000142,U01253,S0777,134.0,2025-05-30,26.0
V000143,U01163,S0409,120.0,2024-08-30,37.0
V000144,U00153,S0659,500.0,2024-09-17,23.0
V000145,U01947,S0629,500.0,2024-08-14,71.0
V000146,U01080,S0208,500.0,2024-10-11,36.0
V000147,U01362,S0187,500.0,2024-11-02,68.0
V000148,U00826,S0335,14.0,2024-06-19,64.0
V000149,U00858,S0551,500.0,2025-03-01,100.0
V000150,U01256,S0765,199.0,2024-06-01,16.0
V000151,U00258,S0085,141.0,2024-05-12,40.0
V000152,U00400,S0883,55.0,2024-12-13,82.0
V000153,U01576,S0394,500.0,2025-06-12,10.0
V000154,U01339,S0338,500.0,2024-12-25,73.0
V000155,U01177,S0522,500.0,2024-01-19,90.0
V000156,U00079,S0596,161.0,2024-07-24,75.0
V000157,U00053,S0113,146.0,2024-12-18,92.0
V000158,U01241,S0459,500.0,2024-12-31,61.0
V000159,U01094,S0113,500.0,2024-10-30,40.0
V000160,U01675,S0313,219.0,2024-09-28,11.0
V000161,U01748,S0681,72.0,2024-07-28,85.0
V000162,U00906,S0400,500.0,2024-05-05,61.0
V000163,U00161,S0428,500.0,2024-12-29,26.0
V000164,U00098,S0791,500.0,2025-05-05,18.0
V000165,U01911,S0323,500.0,2024-05-01,13.0
V000166,U00620,S0047,115.0,2025-02-14,69.0
V000167,U01327,S0046,157.0,2024-12-27,13.0
V000168,U01556,S0163,500.0,2024-06-14,27.0
V000169,U01392,S0138,50.0,2024-07-09,73.0
V000170,U00219,S1000,16.0,2024-12-29,61.0
V000171,U00542,S0946,500.0,2025-06-18,78.0
V000172,U01600,S0953,149.0,2024-10-29,50.0
V000173,U01354,S0884,500.0,2025-01-26,90.0
V000174,U00218,S0094,114.0,2024-12-15,62.0
V000175,U01596,S0905,500.0,2025-05-26,62.0
V000176,U00792,S0873,10.0,2024-02-17,17.0
V000177,U01327,S0147,52.0,2025-10-03,82.0
V000178,U01147,S0259,500.0,2024-04-01,72.0
V000179,U01584,S0745,500.0,2024-06-14,46.0
V000180,U00160,S0572,500.0,2025-06-01,72.0
V000181,U01092,S0552,132.0,2024-01-10,71.0
V000182,U00256,S0449,139.0,2025-03-18,51.0
V000183,U01043,S0397,500.0,2025-06-01,63.0
V000184,U00915,S0119,500.0,2024-07-30,100.0
V000185,U01326,S0910,213.0,2024-05-10,23.0
V000186,U00736,S0630,71.0,2024-01-31,89.0
V000187,U00774,S0893,500.0,2024-01-30,71.0
V000188,U01042,S0922,500.0,2024-05-25,100.0
V000189,U00730,S0747,500.0,2024-07-12,32.0
V000190,U01261,S0881,10.0,2024-01-26,22.0
V000191,U01926,S0123,500.0,2024-11-01,18.0
V000192,U01997,S0835,95.0,2024-05-20,83.0
V000193,U00666,S0865,500.0,2024-12-09,14.0
V000194,U01041,S0614,16.0,2025-05-02,94.0
V000195,U00013,S0978,500.0,2024-01-24,46.0
V000196,U01386,S0213,116.0,2025-01-19,74.0
V000197,U01917,S0551,8.0,2024-07-27,81.0
V000198,U00544,S0553,43.0,2025-02-19,21.0
V000199,U01483,S0818,167.0,2024-02-23,24.0
V000200,U00929,S0894,219.0,2025-06-21,16.0
V000201,U01191,S0369,124.0,2025-05-18,42.0
V000202,U00888,S0741,500.0,2024-09-17,89.0
V000203,U00167,S0258,500.0,2025-04-09,54.0
V000204,U01803,S0333,161.0,2024-03-18,80.0
V000205,U01659,S0358,45.0,2024-08-30,24.0
V000206,U01312,S0300,22.0,2024-11-08,48.0
V000207,U01853,S0157,500.0,2025-02-17,87.0
V000208,U00805,S0143,22.0,2024-02-17,30.0
V000209,U00487,S0678,81.0,2024-08-21,45.0
V000210,U01827,S0818,171.0,2024-09-29,80.0
V000211,U00306,S0335,500.0,2024-01-13,99.0
V000212,U01592,S0746,500.0,2024-11-21,56.0
V000213,U01933,S0385,170.0,2024-12-16,83.0
V000214,U00220,S0103,500.0,2024-12-16,60.0
V000215,U00478,S0555,66.0,2024-04-18,37.0
V000216,U01551,S0085,209.0,2024-07-13,97.0
V000217,U00439,S0560,500.0,2024-02-24,99.0
V000218,U01725,S0690,203.0,2024-03-09,49.0
V000219,U00688,S0718,219.0,2025-01-22,32.0
V000220,U00976,S0050,500.0,2024-03-01,83.0
V000221,U01424,S0978,500.0,2024-01-21,42.0
V000222,U01061,S0304,116.0,2025-06-02,45.0
V000223,U00210,S0742,162.0,2024-11-03,90.0
V000224,U01136,S0761,149.0,2025-06-21,29.0
V000225,U01208,S0155,500.0,2024-01-30,41.0
V000226,U00374,S0377,198.0,2024-08-14,76.0
V000227,U01112,S0499,154.0,2024-03-14,56.0
V000228,U00460,S0293,153.0,2024-07-16,95.0
V000229,U00675,S0328,68.0,2024-04-01,62.0
V000230,U01135,S0731,192.0,2024-09-29,81.0
V000231,U01587,S0403,500.0,2025-04-22,20.0
V000232,U01132,S0944,44.0,2025-05-10,42.0
V000233,U01143,S0061,500.0,2024-07-13,27.0
V000234,U00733,S0889,14.0,2024-12-13,31.0
V000235,U01238,S0250,26.0,2024-10-13,71.0
V000236,U00947,S0968,147.0,2024-04-05,50.0
V000237,U00358,S0319,500.0,2025-02-22,93.0
V000238,U01431,S0158,45.0,2025-03-05,15.0
V000239,U00659,S0445,200.0,2024-08-26,13.0
V000240,U00494,S0614,27.0,2025-01-26,40.0
V000241,U01492,S0187,101.0,2024-09-01,72.0
V000242,U00254,S0446,500.0,2024-11-11,47.0
V000243,U00880,S0296,129.0,2024-02-27,62.0
V000244,U01659,S0577,219.0,2025-02-24,64.0
V000245,U00408,S0460,6.0,2024-12-27,32.0
V000246,U00012,S0489,500.0,2025-02-24,16.0
V000247,U00327,S0593,500.0,2025-02-01,39.0
V000248,U01420,S0429,500.0,2025-01-02,56.0
V000249,U01247,S0835,500.0,2024-02-23,60.0
V000250,U01850,S0911,500.0,2024-10-25,56.0
V000251,U00272,S0108,500.0,2024-07-27,72.0
V000252,U00448,S0269,68.0,2024-01-05,28.0
V000253,U00469,S0040,219.0,2024-04-23,83.0
V000254,U00136,S0465,213.0,2024-12-13,67.0
V000255,U00114,S0140,198.0,2024-02-12,41.0
V000256,U00608,S0129,500.0,2025-04-13,83.0
V000257,U00086,S0795,500.0,2024-02-21,60.0
V000258,U00187,S0221,500.0,2024-02-19,51.0
V000259,U00313,S0580,219.0,2024-01-07,30.0
V000260,U01745,S0613,216.0,2024-03-13,99.0
V000261,U00024,S0145,500.0,2025-06-10,62.0
V000262,U00410,S0719,500.0,2025-03-30,56.0
V000263,U00566,S0061,92.0,2024-03-09,74.0
V000264,U00319,S0062,500.0,2025-03-06,40.0
V000265,U01332,S0098,500.0,2024-04-28,86.0
V000266,U01252,S0711,79.0,2025-04-16,49.0
V000267,U01681,S0908,44.0,2024-05-02,23.0
V000268,U00341,S0431,500.0,2024-09-15,56.0
V000269,U00891,S0802,500.0,2024-11-12,37.0
V000270,U00927,S0661,500.0,2024-10-30,84.0
V000271,U01163,S0830,500.0,2025-03-26,82.0
V000272,U01642,S0682,37.0,2024-07-15,79.0
V000273,U01859,S0053,214.0,2024-11-09,18.0
V000274,U01087,S0318,110.0,2024-12-18,40.0
V000275,U01842,S0496,165.0,2025-03-14,78.0
V000276,U01395,S0754,33.0,2025-06-16,48.0
V000277,U01258,S0509,7.0,2025-10-03,89.0
V000278,U00099,S0088,500.0,2024-06-30,24.0
V000279,U01659,S0578,115.0,2024-03-08,71.0
V000280,U01593,S0634,500.0,2025-02-10,67.0
V000281,U00934,S0820,500.0,2024-02-15,88.0
V000282,U01255,S0588,500.0,2025-02-26,40.0
V000283,U00620,S0751,500.0,2025-01-25,71.0
V000284,U00867,S0740,500.0,2024-11-19,87.0
V000285,U00385,S0085,199.0,2025-02-12,75.0
V000286,U00024,S0500,108.0,2024-11-27,36.0
V000287,U00730,S0110,65.0,2024-06-09,41.0
V000288,U00637,S0635,500.0,2024-05-15,69.0
V000289,U01913,S0598,500.0,2024-08-07,81.0
V000290,U01006,S0303,116.0,2024-02-29,60.0
V000291,U01978,S0654,500.0,2024-03-20,15.0
V000292,U01478,S0550,175.0,2024-07-31,42.0
V000293,U00263,S0549,48.0,2024-08-04,71.0
V000294,U01566,S0624,500.0,2024-01-20,57.0
V000295,U01413,S0482,177.0,2024-12-22,23.0
V000296,U00103,S0353,165.0,2024-02-15,99.0
V000297,U00713,S0032,500.0,2024-08-11,37.0
V000298,U00298,S0269,72.0,2025-06-01,63.0
V000299,U01606,S0132,500.0,2024-06-08,93.0
V000300,U01512,S0963,500.0,2024-08-04,22.0
V000301,U01564,S0726,109.0,2025-10-02,69.0
V000302,U00486,S0882,500.0,2024-07-27,85.0
V000303,U00190,S0644,500.0,2024-10-08,16.0
V000304,U01996,S0797,500.0,2025-01-08,56.0
V000305,U01647,S0423,500.0,2024-09-26,76.0
V000306,U00459,S0335,500.0,2024-02-20,65.0
V000307,U01255,S0644,210.0,2024-05-02,82.0
V000308,U00202,S0300,44.0,2024-08-26,95.0
V000309,U01242,S0731,500.0,2025-02-16,70.0
V000310,U00563,S0468,216.0,2025-04-28,55.0
V000311,U00753,S0559,500.0,2024-11-17,36.0
V000312,U00820,S0433,500.0,2024-07-19,99.0
V000313,U00239,S0114,500.0,2024-07-01,41.0
V000314,U01058,S0666,500.0,2024-11-17,86.0
V000315,U00534,S0552,500.0,2025-01-30,88.0
V000316,U00336,S0484,79.0,2024-02-26,79.0
V000317,U01092,S0776,500.0,2025-11-05,69.0
V000318,U00425,S0997,500.0,2024-06-27,53.0
V000319,U00842,S0479,500.0,2024-07-16,11.0
V000320,U01871,S0703,125.0,2025-04-11,26.0
V000321,U00419,S0223,500.0,2024-07-10,83.0
V000322,U00834,S0462,500.0,2024-07-09,56.0
V000323,U00093,S0815,215.0,2024-12-31,25.0
V000324,U01082,S0841,500.0,2025-12-05,49.0
V000325,U01106,S0229,500.0,2024-09-09,19.0
V000326,U01200,S0982,110.0,2025-02-06,67.0
V000327,U00921,S0192,500.0,2024-03-17,12.0
V000328,U01756,S0969,171.0,2024-12-01,75.0
V000329,U00783,S0521,500.0,2025-03-27,61.0
V000330,U01592,S0316,500.0,2025-01-06,26.0
V000331,U00057,S0750,166.0,2025-09-01,70.0
V000332,U01258,S0832,204.0,2024-04-22,10.0
V000333,U00518,S0567,500.0,2024-09-19,96.0
V000334,U00737,S0034,500.0,2024-05-12,94.0
V000335,U01892,S0665,500.0,2024-08-01,39.0
V000336,U01825,S0965,500.0,2025-06-07,56.0
V000337,U00464,S0412,210.0,2024-06-01,46.0
V000338,U01540,S0023,119.0,2025-06-11,59.0
V000339,U01512,S0503,168.0,2025-03-15,64.0
V000340,U00297,S0599,219.0,2025-01-08,21.0
V000341,U00488,S0370,500.0,2024-04-28,92.0
V000342,U01655,S0499,30.0,2025-10-02,10.0
V000343,U00983,S0435,96.0,2024-09-12,30.0
V000344,U01278,S0849,58.0,2025-03-22,56.0
V000345,U00841,S0033,129.0,2024-09-16,37.0
V000346,U00503,S0910,167.0,2024-10-06,63.0
V000347,U01045,S0978,500.0,2024-02-22,80.0
V000348,U00226,S0223,500.0,2024-03-20,85.0
V000349,U00818,S0661,500.0,2024-09-04,79.0
V000350,U01438,S0032,500.0,2024-09-21,12.0
V000351,U01779,S0172,500.0,2024-08-16,15.0
V000352,U01352,S0217,500.0,2024-08-20,35.0
V000353,U01841,S0925,500.0,2024-09-04,87.0
V000354,U01355,S0567,219.0,2025-05-01,45.0
V000355,U01353,S0279,500.0,2024-01-28,82.0
V000356,U00730,S0780,191.0,2025-01-19,62.0
V000357,U00245,S0414,60.0,2024-10-14,66.0
V000358,U00858,S0177,112.0,2024-11-15,54.0
V000359,U00203,S0742,500.0,2025-01-23,89.0
V000360,U01339,S0917,78.0,2025-10-03,40.0
V000361,U00649,S0973,186.0,2024-08-23,76.0
V000362,U00866,S0124,500.0,2025-03-01,62.0
V000363,U01369,S0228,89.0,2024-05-31,63.0
V000364,U00013,S0355,500.0,2025-10-06,35.0
V000365,U00581,S0792,500.0,2024-01-20,49.0
V000366,U01905,S0277,179.0,2024-03-12,91.0
V000367,U01888,S0279,500.0,2024-10-22,32.0
V000368,U01798,S0450,500.0,2024-12-03,38.0
V000369,U00011,S0408,64.0,2024-01-26,84.0
V000370,U00975,S0041,500.0,2024-10-11,69.0
V000371,U00106,S0109,500.0,2024-02-27,33.0
V000372,U01161,S0225,500.0,2024-01-04,56.0
V000373,U00775,S0460,500.0,2025-01-14,25.0
V000374,U00034,S0018,142.0,2024-06-01,33.0
V000375,U00672,S0705,500.0,2024-11-15,89.0
V000376,U01135,S0242,215.0,2025-05-02,98.0
V000377,U01454,S0669,500.0,2024-10-03,56.0
V000378,U01097,S0251,186.0,2024-11-07,61.0
V000379,U00779,S0816,500.0,2024-04-27,61.0
V000380,U00348,S0242,500.0,2024-05-19,47.0
V000381,U01532,S0849,44.0,2025-02-22,38.0
V000382,U01846,S0405,35.0,2025-05-03,23.0
V000383,U01152,S0309,53.0,2024-11-01,68.0
V000384,U01552,S0458,69.0,2024-09-25,86.0
V000385,U00041,S0544,178.0,2024-11-07,30.0
V000386,U01153,S0550,500.0,2024-06-09,29.0
V000387,U00324,S0444,500.0,2024-04-03,58.0
V000388,U01575,S0783,500.0,2024-02-24,33.0
V000389,U01814,S0860,500.0,2025-05-13,99.0
V000390,U00228,S0421,86.0,2024-09-20,90.0
V000391,U00298,S0209,94.0,2025-05-30,76.0
V000392,U01321,S0940,117.0,2024-12-20,73.0
V000393,U01189,S0788,78.0,2024-04-02,76.0
V000394,U01027,S0534,500.0,2024-09-20,69.0
V000395,U01011,S0159,500.0,2025-01-16,35.0
V000396,U00887,S0536,187.0,2024-07-17,13.0
V000397,U01945,S0369,219.0,2024-06-05,66.0
V000398,U00073,S0060,500.0,2024-02-01,40.0
V000399,U01467,S0528,200.0,2024-06-18,44.0
V000400,U00995,S0226,148.0,2025-01-13,56.0
V000401,U00684,S0709,500.0,2025-06-05,97.0
V000402,U01072,S0974,500.0,2024-11-10,17.0
V000403,U01282,S0712,500.0,2024-12-14,41.0
V000404,U00682,S0955,500.0,2024-06-08,87.0
V000405,U01575,S0563,500.0,2024-12-06,70.0
V000406,U00349,S0628,500.0,2024-11-27,23.0
V000407,U01788,S0054,194.0,2024-03-18,44.0
V000408,U01303,S0423,500.0,2024-10-23,88.0
V000409,U01288,S0649,219.0,2024-11-04,48.0
V000410,U01324,S0778,500.0,2024-01-05,68.0
V000411,U00179,S0638,47.0,2024-06-04,78.0
V000412,U00652,S0977,211.0,2024-03-31,56.0
V000413,U00436,S0891,500.0,2025-02-04,43.0
V000414,U01907,S0930,500.0,2024-05-22,48.0
V000415,U01150,S0725,500.0,2025-01-29,47.0
V000416,U01990,S0817,500.0,2024-05-02,55.0
V000417,U00568,S0155,149.0,2024-04-24,39.0
V000418,U00637,S0282,206.0,2024-03-26,49.0
V000419,U01821,S0338,500.0,2025-06-03,31.0
V000420,U00400,S0617,142.0,2025-01-24,11.0
V000421,U00924,S0945,112.0,2024-06-14,78.0
V000422,U00681,S0644,500.0,2025-02-02,31.0
V000423,U01081,S0891,95.0,2024-05-20,20.0
V000424,U01790,S0242,500.0,2024-07-04,76.0
V000425,U01256,S0197,218.0,2025-05-17,14.0
V000426,U01076,S0622,500.0,2025-05-18,86.0
V000427,U01862,S0901,500.0,2024-12-07,48.0
V000428,U00039,S0260,500.0,2024-12-31,35.0
V000429,U00561,S0858,39.0,2024-02-24,90.0
V000430,U00707,S0053,500.0,2024-10-16,30.0
V000431,U01059,S0222,33.0,2025-04-01,23.0
V000432,U01769,S0472,500.0,2024-12-05,13.0
V000433,U00507,S0949,218.0,2024-06-03,29.0
V000434,U00491,S0620,500.0,2024-12-16,33.0
V000435,U00536,S0669,500.0,2025-06-03,81.0
V000436,U01556,S0302,84.0,2024-04-13,42.0
V000437,U01344,S0380,500.0,2024-09-28,97.0
V000438,U00549,S0212,500.0,2024-03-26,73.0
V000439,U00917,S0625,56.0,2025-03-20,37.0
V000440,U01292,S0258,29.0,2024-05-13,56.0
V000441,U01225,S0887,38.0,2024-07-13,11.0
V000442,U00481,S0092,500.0,2025-04-18,82.0
V000443,U00584,S0811,57.0,2024-03-02,85.0
V000444,U00245,S0166,65.0,2024-02-29,15.0
V000445,U00624,S0356,500.0,2024-03-08,31.0
V000446,U00679,S0518,211.0,2025-07-05,14.0
V000447,U00729,S0154,204.0,2024-01-28,33.0
V000448,U00593,S0080,73.0,2025-04-25,38.0
V000449,U01534,S0217,120.0,2025-05-12,41.0
V000450,U00656,S0842,95.0,2024-11-05,64.0
V000451,U00673,S0726,500.0,2024-10-25,24.0
V000452,U01774,S0696,131.0,2024-09-16,72.0
V000453,U00425,S0504,199.0,2024-04-12,32.0
V000454,U00562,S0307,219.0,2025-03-21,11.0
V000455,U00679,S0604,29.0,2024-02-12,91.0
V000456,U01538,S0367,148.0,2025-05-23,87.0
V000457,U01076,S0644,500.0,2025-04-23,71.0
V000458,U01571,S0702,152.0,2025-02-04,22.0
V000459,U01027,S0320,172.0,2024-09-18,96.0
V000460,U01175,S0066,500.0,2024-05-14,74.0
V000461,U01374,S0026,127.0,2024-05-24,86.0
V000462,U01160,S0545,107.0,2024-10-23,32.0
V000463,U01983,S0429,195.0,2024-05-28,24.0
V000464,U00350,S0907,500.0,2024-02-27,69.0
V000465,U01499,S0106,182.0,2024-08-11,46.0
V000466,U00674,S0117,500.0,2024-03-10,78.0
V000467,U00827,S0842,167.0,2025-05-18,35.0
V000468,U00599,S0808,40.0,2025-01-08,30.0
V000469,U00928,S0353,500.0,2024-09-17,96.0
V000470,U00431,S0719,500.0,2024-04-04,75.0
V000471,U01227,S0513,500.0,2024-02-13,13.0
V000472,U01360,S0264,500.0,2024-03-03,34.0
V000473,U01274,S0847,500.0,2025-05-01,97.0
V000474,U00395,S0532,500.0,2025-12-06,47.0
V000475,U01074,S0469,188.0,2024-06-09,96.0
V000476,U00788,S0604,500.0,2024-09-16,11.0
V000477,U01345,S0884,500.0,2024-06-28,80.0
V000478,U01167,S0043,209.0,2025-03-05,99.0
V000479,U01932,S0468,500.0,2024-06-22,68.0
V000480,U01870,S0546,136.0,2024-07-03,53.0
V000481,U00146,S0936,500.0,2024-12-07,100.0
V000482,U01706,S0989,96.0,2025-01-22,45.0
V000483,U00412,S0765,88.0,2024-01-05,17.0
V000484,U00952,S0064,500.0,2025-03-20,28.0
V000485,U00819,S0499,500.0,2024-02-18,71.0
V000486,U00690,S0931,66.0,2025-05-19,44.0
V000487,U00790,S0292,500.0,2024-03-09,80.0
V000488,U00341,S0328,500.0,2025-06-04,35.0
V000489,U01449,S0625,184.0,2024-10-29,44.0
V000490,U00241,S0782,130.0,2025-04-14,19.0
V000491,U01404,S0488,27.0,2024-11-23,39.0
V000492,U00894,S0871,219.0,2024-12-09,45.0
V000493,U00776,S0974,29.0,2024-09-02,76.0
V000494,U00842,S0137,500.0,2025-09-03,60.0
V000495,U00307,S0504,70.0,2025-06-19,75.0
V000496,U01386,S0208,67.0,2024-01-15,97.0
V000497,U00307,S0842,500.0,2025-05-23,54.0
V000498,U00086,S0204,500.0,2024-11-02,56.0
V000499,U00223,S0784,500.0,2024-05-18,22.0
V000500,U01526,S0785,137.0,2024-07-18,71.0
V000501,U00535,S0284,500.0,2024-10-15,35.0
V000502,U00995,S0265,153.0,2024-01-22,56.0
V000503,U01729,S0716,34.0,2024-11-26,19.0
V000504,U00231,S0138,216.0,2024-12-31,90.0
V000505,U00852,S0066,98.0,2024-01-09,78.0
V000506,U01668,S0877,500.0,2024-10-23,34.0
V000507,U00613,S0814,500.0,2024-02-14,36.0
V000508,U01366,S0997,61.0,2024-07-18,97.0
V000509,U01076,S0400,133.0,2024-07-17,88.0
V000510,U00725,S0209,500.0,2025-09-05,70.0
V000511,U01963,S0094,48.0,2024-09-11,95.0
V000512,U01828,S0276,189.0,2024-06-07,20.0
V000513,U00857,S0299,101.0,2024-10-31,26.0
V000514,U00022,S0461,5.0,2025-02-25,96.0
V000515,U00350,S0132,500.0,2024-07-29,75.0
V000516,U00966,S0722,219.0,2024-07-12,80.0
